,Time,Number_of_Casualties,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Detail,Number_of_Vehicles,Accident_Severity,Road_Surface_Condition
2322,Mañana,1,Fin de semana,Rotonda,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,Minirotonda,1,Leve,Húmeda
2323,Tarde,2,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,Entrada_Privada,1,Leve,Seca
2324,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
2325,Tarde,1,Día laboral,Calzada,30.0,Diurna,Otro,2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2326,Tarde,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2327,Tarde,1,Fin de semana,Rotonda,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Serio,Seca
2328,Noche,1,Día laboral,Calzada,60.0,Oscuridad_Sin_Iluminacion,Desconocido,-1,Rural,No,No_hay_cruce,1,Serio,Seca
2329,Mañana,1,Día laboral,Calzada,30.0,Diurna,Desconocido,-1,Urbano,Si,T,1,Serio,Seca
2330,Tarde,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,T,1,Serio,Húmeda
2331,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,Otros,1,Leve,Seca
2332,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2333,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,Otros,1,Serio,Seca
2334,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,Entrada_Privada,1,Leve,Seca
2335,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2336,Noche,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2337,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2338,Tarde,1,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
2339,Mañana,2,Fin de semana,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,2,Fatal,Seca
2340,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Desconocido,1,Urbano,No,No_hay_cruce,1,Serio,Seca
2341,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2342,Noche,2,Día laboral,Calzada,30.0,Diurna,Desconocido,1,Urbano,No,No_hay_cruce,1,Leve,Seca
2343,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
2344,Mañana,1,Día laboral,Calzada,30.0,Diurna,Desconocido,1,Urbano,No,No_hay_cruce,1,Leve,Seca
2345,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Desconocido,1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2346,Noche,1,Día laboral,Calzada,60.0,Oscuridad_Iluminacion_Desconocida,Desconocido,1,Rural,No,No_hay_cruce,1,Leve,Seca
2347,Noche,1,Día laboral,Calzada,30.0,Diurna,Desconocido,1,Rural,No,No_hay_cruce,1,Leve,Seca
2348,Tarde,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2349,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2350,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2351,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2352,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Leve,Seca
2353,Tarde,2,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2354,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Serio,Seca
2355,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2356,Tarde,1,Día laboral,Calzada,30.0,Diurna,Otro,2,Urbano,No,No_hay_cruce,1,Leve,Húmeda
2357,Tarde,1,Fin de semana,Desconocida,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
2358,Noche,1,Día laboral,Calzada,40.0,Oscuridad_Luces_Apagadas,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2359,Mañana,1,Día laboral,Rotonda,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,Rotonda,1,Serio,Seca
2360,Tarde,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
2361,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2362,Mañana,1,Día laboral,Rotonda,30.0,Diurna,Lluvioso,2,Urbano,Si,Rotonda,1,Serio,Húmeda
2363,Tarde,1,Fin de semana,Calzada,60.0,Diurna,Lluvioso,2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
2364,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2365,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Serio,Seca
2366,Mañana,1,Día laboral,1SoloSentido,20.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,+4salidas,1,Leve,Húmeda
2367,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2368,Noche,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2369,Noche,1,Día laboral,Calzada,60.0,Oscuridad_Sin_Iluminacion,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2370,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2371,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2372,Mañana,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Entrada_Privada,1,Serio,Seca
2373,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2374,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2375,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,No,Carretera_Acceso,1,Leve,Húmeda
2376,Mañana,1,Fin de semana,Rotonda,60.0,Diurna,"Bien, con vientos suaves",2,Rural,Si,Rotonda,1,Serio,Húmeda
2377,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2378,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Serio,Seca
2379,Noche,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2380,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2381,Noche,1,Fin de semana,Calzada,20.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2382,Mañana,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2383,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
2384,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,Entrada_Privada,1,Leve,Seca
2385,Mañana,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Rural,Si,T,1,Leve,Húmeda
2386,Tarde,1,Fin de semana,Calzada,40.0,Diurna,"Bien, con vientos suaves",2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
2387,Tarde,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2388,Mañana,1,Día laboral,Calzada,30.0,Diurna,Otro,4,Rural,Si,No_hay_cruce,1,Leve,Hielo
2389,Tarde,1,Día laboral,Calzada,50.0,Diurna,Lluvioso,2,Rural,Si,T,1,Leve,Húmeda
2390,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Leve,Seca
2391,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2392,Noche,1,Fin de semana,1SoloSentido,40.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Rural,Si,T,1,Serio,Húmeda
2393,Mañana,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2394,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Sin_Iluminacion,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2395,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
2396,Noche,1,Día laboral,Autovia,30.0,Oscuridad_Luces_Encendidas,Otro,2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2397,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2398,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2399,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2400,Tarde,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2401,Tarde,1,Fin de semana,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Leve,Seca
2402,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2403,Tarde,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2404,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2405,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos fuertes",2,Urbano,Si,Encrucijada,1,Leve,Húmeda
2406,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Leve,Seca
2407,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2408,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Lluvioso, con vientos fuertes",2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2409,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2410,Tarde,1,Fin de semana,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2411,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2412,Tarde,1,Fin de semana,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
2413,Mañana,1,Fin de semana,Desconocida,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2414,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,Otros,1,Leve,Húmeda
2415,Mañana,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,Carretera_Acceso,1,Serio,Seca
2416,Tarde,1,Fin de semana,Desconocida,30.0,Diurna,"Bien, con vientos suaves",2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
2417,Mañana,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2418,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2419,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,T,1,Leve,Húmeda
2420,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2421,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2422,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos fuertes",1,Urbano,No,T,1,Leve,Seca
2423,Noche,1,Fin de semana,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2424,Tarde,1,Día laboral,Autovia,50.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2425,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2426,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2427,Tarde,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Apagadas,"Lluvioso, con vientos fuertes",2,Urbano,Si,T,1,Leve,Húmeda
2428,Mañana,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2429,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2430,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,No,T,1,Leve,Seca
2431,Mañana,2,Fin de semana,1SoloSentido,30.0,Diurna,Lluvioso,2,Urbano,Si,+4salidas,1,Serio,Húmeda
2432,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",2,Urbano,No,No_hay_cruce,1,Serio,Húmeda
2433,Tarde,1,Día laboral,1SoloSentido,20.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2434,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,+4salidas,1,Serio,Seca
2435,Mañana,2,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Serio,Seca
2436,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2437,Tarde,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2438,Noche,1,Día laboral,Calzada,20.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2439,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2440,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2441,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2442,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2443,Tarde,1,Día laboral,1SoloSentido,30.0,Diurna,Lluvioso,2,Urbano,No,No_hay_cruce,1,Leve,Húmeda
2444,Tarde,1,Fin de semana,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2445,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",2,Rural,No,T,1,Leve,Húmeda
2446,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2447,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Serio,Seca
2448,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2449,Mañana,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Minirotonda,1,Leve,Seca
2450,Noche,1,Día laboral,Calzada,50.0,Oscuridad_Sin_Iluminacion,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Fatal,Seca
2451,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2452,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Serio,Seca
2453,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2454,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2455,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2456,Noche,1,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2457,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2458,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2459,Noche,1,Día laboral,Calzada,60.0,Oscuridad_Sin_Iluminacion,Lluvioso,2,Rural,Si,No_hay_cruce,1,Leve,Húmeda
2460,Noche,1,Fin de semana,Calzada,60.0,Oscuridad_Sin_Iluminacion,"Bien, con vientos suaves",2,Rural,Si,No_hay_cruce,1,Leve,Húmeda
2461,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,Encrucijada,1,Serio,Húmeda
2462,Mañana,1,Día laboral,Rotonda,30.0,Diurna,Lluvioso,2,Rural,Si,Rotonda,1,Serio,Húmeda
2463,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,Otros,1,Leve,Seca
2464,Tarde,1,Día laboral,Calzada,30.0,Diurna,Desconocido,1,Urbano,No,No_hay_cruce,1,Serio,Seca
2465,Tarde,1,Fin de semana,Autovia,50.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
2466,Tarde,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
2467,Tarde,1,Día laboral,Calzada,60.0,Diurna,Lluvioso,2,Rural,Si,No_hay_cruce,1,Leve,Húmeda
2468,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Rural,Si,T,1,Leve,Seca
2469,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",4,Rural,Si,T,1,Leve,Hielo
2470,Noche,1,Fin de semana,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Fatal,Seca
2471,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2472,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
2473,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
2474,Noche,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,Rotonda,1,Leve,Húmeda
2475,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Serio,Seca
2476,Tarde,1,Fin de semana,Desconocida,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
2477,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
2478,Mañana,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2479,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2480,Mañana,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,Encrucijada,1,Leve,Seca
2481,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,T,1,Serio,Seca
2482,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
2483,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2484,Mañana,1,Día laboral,Calzada,40.0,Diurna,Lluvioso,2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
2485,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,Encrucijada,1,Leve,Húmeda
2486,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,T,1,Serio,Húmeda
2487,Tarde,2,Fin de semana,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,Encrucijada,1,Serio,Seca
2488,Noche,2,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
2489,Tarde,1,Fin de semana,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,T,1,Leve,Húmeda
2490,Noche,1,Día laboral,Autovia,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
2491,Mañana,1,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
2492,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
2493,Noche,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2494,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
2495,Mañana,1,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
2496,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,Encrucijada,1,Leve,Húmeda
2497,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
2498,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
2499,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,+4salidas,1,Leve,Seca
2500,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2501,Noche,2,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2502,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Serio,Seca
2503,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,Otros,1,Leve,Seca
2504,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2505,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,No,T,1,Serio,Seca
2506,Tarde,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
2507,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2508,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",2,Urbano,Si,Encrucijada,1,Serio,Húmeda
2509,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2510,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2511,Mañana,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
2512,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
2513,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
2514,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
